stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\Users\kalvi\Downloads\Allegro_Window\x64\Debug\allegro5.cfg r
system   D            wsystem.c:799  maybe_parent_dir                 [   0.00000] Also searching C:\Users\kalvi\Downloads\Allegro_Window\x64\
system   D            wsystem.c:854  _al_win_safe_load_library        [   0.00000] PathFindOnPath found: C:\Windows\system32\shcore.dll
system   D            wsystem.c:760  load_library_at_path             [   0.00000] Calling LoadLibrary C:\Windows\system32\shcore.dll
system   I            wsystem.c:763  load_library_at_path             [   0.00000] Loaded C:\Windows\system32\shcore.dll
system   I             system.c:267  al_install_system                [   0.00000] Allegro version: 5.2.6
dtor     D               dtor.c:196  _al_register_destructor          [   0.00044] added dtor for timer 000001F549D35220, func 00007FFCF564104B
dtor     D               dtor.c:196  _al_register_destructor          [   0.00057] added dtor for queue 000001F549D4EAB0, func 00007FFCF5641C08
system   D            wsystem.c:799  maybe_parent_dir                 [   0.00083] Also searching C:\Users\kalvi\Downloads\Allegro_Window\x64\
system   D            wsystem.c:854  _al_win_safe_load_library        [   0.00118] PathFindOnPath found: C:\Windows\system32\d3d9.dll
system   D            wsystem.c:760  load_library_at_path             [   0.00125] Calling LoadLibrary C:\Windows\system32\d3d9.dll
system   I            wsystem.c:763  load_library_at_path             [   0.00944] Loaded C:\Windows\system32\d3d9.dll
d3d      I         d3d_disp.cpp:684  d3d_init_display                 [   0.07732] Render-to-texture: 1
d3d      I         d3d_disp.cpp:1778 d3d_create_display_locked        [   0.07835] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1779 d3d_create_display_locked        [   0.07844] al_display=000001F549DFF5A0
d3d      D         d3d_disp.cpp:1780 d3d_create_display_locked        [   0.07850] al_display->vt=000001F54B875E10
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.08391] found 288 format combinations
display  D   display_settings.c:212  debug_display_settings           [   0.08405] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.08439] Score is : 641
display  D   display_settings.c:212  debug_display_settings           [   0.08447] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.08457] Score is : 641
display  D   display_settings.c:212  debug_display_settings           [   0.08466] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.08475] Score is : 785
